source_response_id,version_key,segment,submitted_at,feature,frequency_raw,used_yn,frequency_score,feature_csat,csat_accuracy,csat_sources
6,v2_CSM,CSM,2025-10-20 04:47:49+00,research,Ja,t,4,7.0,7.0,6.0
7,v2_CSM,CSM,2025-10-20 05:46:15+00,matrix,Nein,f,0,,,
7,v2_CSM,CSM,2025-10-20 05:46:15+00,research,Ja,t,4,7.0,7.0,
8,v2_CSM,CSM,2025-10-22 05:24:20+00,matrix,Nein,f,0,,,
8,v2_CSM,CSM,2025-10-22 05:24:20+00,research,Ja,t,4,5.0,5.0,6.0
9,v2_CSM,CSM,2025-10-23 01:45:26+00,matrix,,,,,,
9,v2_CSM,CSM,2025-10-23 01:45:26+00,research,Ja,t,4,8.0,7.0,6.0
10,v2_CSM,CSM,2025-10-23 02:19:54+00,matrix,,,,,,
10,v2_CSM,CSM,2025-10-23 02:19:54+00,research,Ja,t,4,8.0,7.0,6.0
11,v2_CSM,CSM,2025-10-23 02:31:03+00,matrix,,,,,,
11,v2_CSM,CSM,2025-10-23 02:31:03+00,research,Ja,t,4,5.0,5.0,4.0
12,v2_CSM,CSM,2025-10-23 04:10:13+00,matrix,Nein,f,0,,,
12,v2_CSM,CSM,2025-10-23 04:10:13+00,research,Ja,t,4,8.0,7.0,8.0
13,v2_CSM,CSM,2025-10-23 05:41:07+00,matrix,Nein,f,0,,,
13,v2_CSM,CSM,2025-10-23 05:41:07+00,research,Ja,t,4,9.0,9.0,10.0
14,v2_CSM,CSM,2025-10-23 06:02:06+00,matrix,Nein,f,0,,,
14,v2_CSM,CSM,2025-10-23 06:02:06+00,research,Ja,t,4,1.0,1.0,2.0
15,v2_CSM,CSM,2025-10-24 01:44:54+00,matrix,Nein,f,0,,,
15,v2_CSM,CSM,2025-10-24 01:44:54+00,research,Ja,t,4,5.0,5.0,5.0
16,v2_CSM,CSM,2025-10-27 00:09:12+00,matrix,Ja,t,4,6.0,,
16,v2_CSM,CSM,2025-10-27 00:09:12+00,research,Ja,t,4,7.0,7.0,8.0
17,v2_CSM,CSM,2025-10-27 08:20:51+00,matrix,,,,,,
17,v2_CSM,CSM,2025-10-27 08:20:51+00,research,Ja,t,4,9.0,9.0,7.0
18,v2_CSM,CSM,2025-10-27 08:38:24+00,matrix,Nein,f,0,,,
18,v2_CSM,CSM,2025-10-27 08:38:24+00,research,Ja,t,4,8.0,8.0,9.0
19,v2_CSM,CSM,2025-10-27 09:10:04+00,matrix,Nein,f,0,,,
19,v2_CSM,CSM,2025-10-27 09:10:04+00,research,Ja,t,4,8.0,9.0,8.0
20,v2_CSM,CSM,2025-10-28 01:03:29+00,matrix,,,,,,
20,v2_CSM,CSM,2025-10-28 01:03:29+00,research,Ja,t,4,5.0,5.0,3.0
21,v2_CSM,CSM,2025-10-28 02:29:14+00,matrix,,,,,,
21,v2_CSM,CSM,2025-10-28 02:29:14+00,research,Ja,t,4,3.0,2.0,2.0
22,v2_CSM,CSM,2025-10-28 09:06:48+00,matrix,Nein,f,0,,,
22,v2_CSM,CSM,2025-10-28 09:06:48+00,research,Ja,t,4,8.0,9.0,9.0
23,v2_CSM,CSM,2025-10-28 23:54:40+00,matrix,Nein,f,0,,,
23,v2_CSM,CSM,2025-10-28 23:54:40+00,research,Ja,t,4,7.0,7.0,6.0
24,v2_CSM,CSM,2025-10-29 04:53:06+00,matrix,Nein,f,0,,,
24,v2_CSM,CSM,2025-10-29 04:53:06+00,research,Ja,t,4,8.0,7.0,7.0
25,v2_CSM,CSM,2025-10-29 05:34:32+00,matrix,Nein,f,0,,,
25,v2_CSM,CSM,2025-10-29 05:34:32+00,research,Ja,t,4,7.0,6.0,6.0
26,v2_CSM,CSM,2025-10-29 05:52:51+00,matrix,Nein,f,0,,,
26,v2_CSM,CSM,2025-10-29 05:52:51+00,research,Ja,t,4,5.0,5.0,5.0
27,v2_CSM,CSM,2025-10-29 08:10:39+00,matrix,,,,,,
27,v2_CSM,CSM,2025-10-29 08:10:39+00,research,Ja,t,4,8.0,9.0,7.0
28,v2_CSM,CSM,2025-10-29 12:23:56+00,matrix,Nein,f,0,,,
28,v2_CSM,CSM,2025-10-29 12:23:56+00,research,Ja,t,4,8.0,5.0,4.0
29,v2_CSM,CSM,2025-10-30 03:48:27+00,matrix,,,,,,
29,v2_CSM,CSM,2025-10-30 03:48:27+00,research,Ja,t,4,6.0,5.0,5.0
30,v2_CSM,CSM,2025-10-30 05:57:22+00,matrix,Nein,f,0,,,
30,v2_CSM,CSM,2025-10-30 05:57:22+00,research,Ja,t,4,7.0,7.0,6.0
31,v2_CSM,CSM,2025-10-30 05:57:56+00,matrix,,,,,,
31,v2_CSM,CSM,2025-10-30 05:57:56+00,research,Ja,t,4,8.0,8.0,7.0
32,v2_CSM,CSM,2025-10-30 08:33:01+00,matrix,,,,,,
32,v2_CSM,CSM,2025-10-30 08:33:01+00,research,Ja,t,4,7.0,6.0,4.0
33,v2_CSM,CSM,2025-10-30 08:35:07+00,matrix,,,,,,
33,v2_CSM,CSM,2025-10-30 08:35:07+00,research,Ja,t,4,6.0,6.0,7.0
34,v2_CSM,CSM,2025-10-30 08:36:08+00,matrix,Nein,f,0,,,
34,v2_CSM,CSM,2025-10-30 08:36:08+00,research,Ja,t,4,7.0,6.0,3.0
35,v2_CSM,CSM,2025-10-30 08:48:27+00,matrix,Nein,f,0,,,
35,v2_CSM,CSM,2025-10-30 08:48:27+00,research,Ja,t,4,8.0,7.0,7.0
36,v2_CSM,CSM,2025-10-30 09:06:46+00,matrix,,,,,,
36,v2_CSM,CSM,2025-10-30 09:06:46+00,research,Ja,t,4,8.0,7.0,8.0
37,v2_CSM,CSM,2025-10-30 10:16:57+00,matrix,Nein,f,0,,,
37,v2_CSM,CSM,2025-10-30 10:16:57+00,research,Ja,t,4,7.0,6.0,7.0
38,v2_CSM,CSM,2025-10-30 11:18:30+00,matrix,,,,,,
38,v2_CSM,CSM,2025-10-30 11:18:30+00,research,Ja,t,4,6.0,6.0,6.0
39,v2_CSM,CSM,2025-10-30 12:57:14+00,matrix,Nein,f,0,,,
39,v2_CSM,CSM,2025-10-30 12:57:14+00,research,Ja,t,4,10.0,9.0,9.0
40,v2_CSM,CSM,2025-10-31 02:34:35+00,matrix,Nein,f,0,,,
40,v2_CSM,CSM,2025-10-31 02:34:35+00,research,Ja,t,4,6.0,6.0,7.0
41,v2_CSM,CSM,2025-10-31 03:55:35+00,matrix,Nein,f,0,,,
41,v2_CSM,CSM,2025-10-31 03:55:35+00,research,Ja,t,4,8.0,6.0,7.0
42,v2_CSM,CSM,2025-10-31 05:33:36+00,matrix,,,,,,
42,v2_CSM,CSM,2025-10-31 05:33:36+00,research,Ja,t,4,7.0,7.0,6.0
43,v2_CSM,CSM,2025-10-31 05:54:32+00,matrix,,,,,,
43,v2_CSM,CSM,2025-10-31 05:54:32+00,research,Ja,t,4,7.0,7.0,7.0
44,v2_CSM,CSM,2025-10-31 06:16:45+00,matrix,,,,,,
44,v2_CSM,CSM,2025-10-31 06:16:45+00,research,Ja,t,4,7.0,7.0,7.0
45,v2_CSM,CSM,2025-10-31 08:23:33+00,matrix,,,,,,
45,v2_CSM,CSM,2025-10-31 08:23:33+00,research,Ja,t,4,4.0,4.0,8.0
46,v2_CSM,CSM,2025-11-03 00:07:15+00,matrix,Nein,f,0,,,
46,v2_CSM,CSM,2025-11-03 00:07:15+00,research,Ja,t,4,9.0,9.0,9.0
47,v2_CSM,CSM,2025-11-03 01:13:56+00,matrix,,,,,,
47,v2_CSM,CSM,2025-11-03 01:13:56+00,research,Nein,f,0,,,
48,v2_CSM,CSM,2025-11-03 02:09:32+00,matrix,,,,,,
48,v2_CSM,CSM,2025-11-03 02:09:32+00,research,Ja,t,4,5.0,5.0,5.0
